	JvRad_Rhipp_504	JvRad_Rhipp_503	JvRad_Rhipp_402	JvRad_Rhipp_401	JvRad_Rhipp_400	JvRad_Rhipp_203	JvRad_Rhipp_202	JvRad_Rhipp_201	JvRad_Rhipp_200
Usp25	2.6191789117494	5.28891156149098	6.22532412938678	8.03042751111921	6.13963594398194	5.30567473670428	3.23623930534128	1.78313934114126	0
App	214.772670763451	195.208917633213	204.743993588721	267.924263325523	240.26441994116	309.497692974416	299.352135744069	203.277884890104	388.303876477145
Gm2541	1.7461192744996	1.9232405678149	0	0.730038864647201	0.409309062932129	1.76855824556809	6.47247861068257	1.78313934114126	3.4825459773735
N6amt1	0.873059637249799	2.88486085172236	7.60872949147273	2.1901165939416	2.8651634405249	0	0	3.56627868228252	0
Cct8	17.461192744996	15.866734684473	13.1423509398165	13.8707384282968	18.4189078319458	33.6026066657938	29.1261537480715	21.3976720936951	17.4127298868675
Rpl31-ps4	0	3.84648113562981	1.38340536208595	5.8403109171776	4.09309062932129	7.07423298227237	8.09059826335321	8.9156967057063	5.22381896606025
Bach1	2.6191789117494	1.9232405678149	4.15021608625785	2.1901165939416	0.818618125864258	0	0	0	0
Gm2805	0	0	2.07510804312893	2.9201554585888	0.818618125864258	1.76855824556809	8.09059826335321	7.13255736456504	5.22381896606025
Sod1	53.2566378722378	53.8507358988173	55.336214483438	35.7719043677128	49.9357056777198	24.7598154379533	37.2167520114248	46.3616228696728	26.1190948303012
Urb1	2.6191789117494	1.44243042586118	4.15021608625785	2.1901165939416	1.63723625172852	1.76855824556809	0	0	0
Paxbp1	6.9844770979984	7.21215212930589	6.91702681042976	4.3802331878832	11.0513446991675	7.07423298227237	3.23623930534128	5.34941802342378	0
Dnajc28	0	1.44243042586118	4.15021608625785	3.650194323236	0.409309062932129	3.53711649113619	8.09059826335321	3.56627868228252	3.4825459773735
Gart	7.8575367352482	6.73134198735216	6.91702681042976	5.8403109171776	5.73032688104981	3.53711649113619	6.47247861068257	0	0
Son	86.4329040877302	70.198280725244	76.0872949147273	86.8746248930169	83.0897397752222	68.9737715771556	48.5435895801192	55.2773195753791	55.720735637976
Itsn1	34.922385489992	39.9072417821592	44.9606742677934	49.6426427960096	43.3867606708057	38.908281402498	16.1811965267064	42.7953441873903	33.0841867850482
Setd4	4.365298186249	5.76972170344471	6.22532412938678	5.8403109171776	5.32101781811768	14.1484659645447	38.8348716640954	49.9279015519553	5.22381896606025
Ttc3	126.593647401221	154.340055567146	134.190320122337	153.308161575912	131.388209201213	213.995547713739	202.26495658383	158.699401361572	210.694031631097
Vps26c	9.6036560097478	3.84648113562981	2.7668107241719	3.650194323236	7.77687219571045	8.84279122784046	12.9449572213651	7.13255736456504	8.70636494343375
Gm56630	0	0.480810141953726	0	0	0.409309062932129	1.76855824556809	1.61811965267064	0	3.4825459773735
Ets2	13.9689541959968	9.61620283907452	9.68383753460166	8.03042751111921	9.41410844743897	1.76855824556809	4.85435895801192	5.34941802342378	3.4825459773735
Gm6599	0.873059637249799	0.961620283907452	2.7668107241719	0.730038864647201	1.22792718879639	7.07423298227237	1.61811965267064	3.56627868228252	1.74127298868675
Get1	4.365298186249	5.76972170344471	6.22532412938678	5.8403109171776	4.91170875518555	5.30567473670428	0	0	3.4825459773735
Gm9242	0.873059637249799	0.961620283907452	1.38340536208595	2.1901165939416	0.409309062932129	3.53711649113619	6.47247861068257	1.78313934114126	3.4825459773735
Gm10232	1.7461192744996	0.961620283907452	1.38340536208595	1.4600777292944	0.409309062932129	1.76855824556809	4.85435895801192	8.9156967057063	0
Gm4828	4.365298186249	4.32729127758353	4.84191876730083	5.8403109171776	2.04654531466065	12.3799077189766	9.70871791602385	14.2651147291301	6.965091954747
Gm15599	0.873059637249799	2.40405070976863	4.15021608625785	2.9201554585888	1.22792718879639	7.07423298227237	1.61811965267064	7.13255736456504	6.965091954747
Gm10231	0.873059637249799	4.80810141953726	5.5336214483438	3.650194323236	2.04654531466065	3.53711649113619	4.85435895801192	12.4819753879888	5.22381896606025
Synj2	17.461192744996	19.232405678149	13.1423509398165	10.950582969708	18.4189078319458	15.9170242101128	4.85435895801192	7.13255736456504	8.70636494343375
Prr18	27.0648487547438	25.9637476655012	18.6759723881603	23.3612436687104	18.8282168948779	14.1484659645447	17.7993161793771	17.8313934114126	5.22381896606025
Gm5491	0.873059637249799	1.44243042586118	0	0	1.63723625172852	3.53711649113619	1.61811965267064	5.34941802342378	1.74127298868675
Qki	50.6374589604884	55.2931663246785	44.2689715867504	36.50194323236	37.6564337897559	28.2969319290895	17.7993161793771	32.0965081405427	38.3080057511085
Sod2	31.4301469409928	27.4061780913624	21.4427831123322	21.901165939416	23.3306165871314	38.908281402498	25.8899144427303	32.0965081405427	36.5667327624217
Gm3222	19.2073120194956	12.5010636907969	19.3676750692033	19.7110493454744	9.41410844743897	53.0567473670428	37.2167520114248	37.4459261639665	48.755643683229
Gm7393	1.7461192744996	3.84648113562981	3.45851340521488	2.9201554585888	2.04654531466065	7.07423298227237	8.09059826335321	5.34941802342378	15.6714568981807
1600012H06Rik	0	4.32729127758353	2.07510804312893	2.1901165939416	2.45585437759278	10.6113494734086	3.23623930534128	3.56627868228252	6.965091954747
